borrower_id,credit_score,annual_income,employment_length,dti,loan_amount,term,interest_rate,loan_purpose,home_ownership,default_status
1001,652,76699,27,38.0%,34532,60m,6.62%,wedding,rent,1
1002,729,126127,31,29.9%,49229,36m,7.73%,debt_consolidation,mortgage,1
1003,642,101253,11,15.3%,37160,60m,16.25%,wedding,mortgage,1
1004,564,125659,26,25.3%,30688,36m,7.98%,wedding,mortgage,1
1005,656,124769,9,38.0%,13063,36m,10.55%,medical,mortgage,1
1006,621,131041,31,33.4%,25089,36m,17.94%,wedding,mortgage,1
1007,738,136185,25,31.0%,35585,36m,5.31%,small_business,own,1
1008,570,66092,24,30.8%,8203,60m,8.6%,home_improvement,mortgage,1
1009,652,83671,10,11.2%,4438,36m,23.6%,credit_card,rent,1
1010,671,30350,22,33.9%,29559,60m,18.27%,credit_card,own,1
1011,760,116158,33,14.7%,25212,36m,11.11%,credit_card,own,0
1012,764,120859,39,37.6%,8641,60m,5.91%,home_improvement,mortgage,1
1013,624,140097,22,17.8%,18983,36m,16.72%,car,mortgage,1
1014,752,145222,28,35.0%,16026,36m,9.46%,wedding,own,1
1015,637,88487,30,14.3%,21636,36m,24.2%,medical,own,1
1016,666,37622,6,23.0%,36603,60m,18.74%,debt_consolidation,rent,1
1017,649,143853,39,8.7%,14222,36m,24.48%,car,mortgage,0
1018,653,90263,32,28.1%,4177,36m,21.98%,credit_card,own,1
1019,701,73117,20,34.3%,42910,36m,14.66%,credit_card,rent,0
1020,680,123990,1,30.1%,34916,36m,18.39%,wedding,mortgage,1
1021,699,78394,17,23.3%,15105,36m,21.24%,car,mortgage,0
1022,602,122005,32,6.6%,36512,36m,16.56%,medical,rent,1
1023,551,121084,36,37.7%,3646,60m,6.23%,car,rent,1
1024,637,43782,33,29.7%,11864,60m,14.41%,home_improvement,mortgage,1
1025,785,136276,19,31.1%,48434,60m,7.61%,credit_card,rent,0
1026,707,48454,34,32.8%,28515,36m,19.3%,medical,rent,0
1027,587,87904,17,31.2%,25762,36m,18.61%,wedding,mortgage,1
1028,679,149936,23,20.4%,38435,60m,24.86%,debt_consolidation,mortgage,1
1029,741,35592,7,30.7%,18960,36m,17.58%,wedding,rent,0
1030,737,42173,29,26.9%,46055,36m,21.0%,credit_card,mortgage,0
1031,570,53204,9,34.9%,29607,60m,10.37%,wedding,mortgage,1
1032,710,55596,22,33.1%,18302,36m,11.8%,car,rent,1
1033,753,54324,10,6.4%,47778,36m,23.34%,medical,mortgage,0
1034,607,142258,1,18.3%,32941,36m,20.1%,credit_card,mortgage,1
1035,571,131668,25,6.2%,33321,36m,18.11%,debt_consolidation,rent,1
1036,785,81202,35,8.6%,32313,36m,10.08%,debt_consolidation,own,0
1037,638,109400,32,26.0%,39547,36m,18.97%,small_business,mortgage,1
1038,598,144184,12,35.6%,42955,36m,22.74%,car,rent,1
1039,768,133365,39,9.2%,15029,60m,9.62%,home_improvement,rent,0
1040,608,50750,24,20.8%,37740,36m,19.12%,car,mortgage,1
1041,719,96112,3,36.9%,20429,60m,12.87%,medical,rent,0
1042,769,36566,18,33.5%,30512,36m,7.38%,car,rent,0
1043,737,27190,17,23.2%,13140,60m,20.27%,medical,rent,0
1044,757,108607,36,32.0%,16847,60m,8.34%,small_business,mortgage,1
1045,564,58333,29,23.3%,49191,60m,10.06%,small_business,rent,1
1046,739,141929,18,10.5%,36256,60m,20.66%,small_business,own,0
1047,739,100905,22,9.4%,30774,36m,19.84%,home_improvement,mortgage,0
1048,724,109571,15,11.6%,11127,36m,10.08%,small_business,mortgage,0
1049,739,140263,0,17.3%,30205,36m,23.82%,car,mortgage,0
1050,600,21589,11,37.6%,44674,36m,9.31%,debt_consolidation,mortgage,1
1051,657,144467,23,33.0%,36570,36m,24.87%,medical,mortgage,1
1052,604,45235,33,20.1%,17627,36m,19.76%,wedding,mortgage,1
1053,793,20159,7,22.3%,38288,36m,12.85%,medical,rent,0
1054,613,32145,17,14.3%,40664,60m,7.61%,debt_consolidation,mortgage,1
1055,798,100909,4,29.7%,34333,60m,11.41%,wedding,own,0
1056,680,51921,25,33.1%,38079,36m,8.87%,car,mortgage,1
1057,778,124859,29,13.4%,20689,36m,17.44%,home_improvement,rent,0
1058,600,36237,12,6.5%,26259,60m,12.14%,credit_card,rent,1
1059,684,127507,18,26.8%,28571,36m,10.9%,car,mortgage,1
1060,570,28244,28,24.7%,10009,36m,20.14%,small_business,rent,1
1061,622,34743,2,19.1%,46674,36m,9.61%,wedding,own,1
1062,716,117102,25,27.5%,46995,36m,16.74%,car,mortgage,0
1063,567,66101,39,24.3%,40230,36m,8.89%,medical,rent,1
1064,681,131645,11,13.8%,47828,60m,19.3%,medical,rent,1
1065,638,141534,1,18.9%,38226,36m,17.5%,home_improvement,rent,1
1066,609,104227,10,20.0%,38498,36m,20.96%,small_business,rent,1
1067,563,119532,27,35.8%,30820,60m,6.37%,wedding,own,1
1068,791,76378,17,38.6%,42315,60m,9.2%,home_improvement,own,1
1069,799,91126,12,36.3%,31482,36m,8.09%,home_improvement,own,1
1070,558,76071,36,30.2%,34795,60m,8.81%,debt_consolidation,mortgage,1
1071,639,91121,21,25.5%,21875,60m,7.06%,wedding,mortgage,1
1072,602,94763,11,29.1%,41191,60m,16.24%,credit_card,own,1
1073,679,113814,1,37.9%,14453,60m,16.87%,credit_card,own,1
1074,633,124350,36,13.7%,11260,60m,21.87%,wedding,own,1
1075,641,32237,6,23.7%,47244,36m,13.35%,small_business,own,1
1076,660,35649,25,29.1%,47706,60m,15.65%,home_improvement,mortgage,1
1077,737,57713,25,28.8%,44817,60m,24.83%,medical,rent,0
1078,748,93463,23,13.8%,27898,36m,15.64%,credit_card,mortgage,1
1079,721,65409,11,25.5%,7614,36m,16.47%,wedding,mortgage,0
1080,557,68766,15,32.9%,33843,60m,24.92%,wedding,mortgage,1
1081,724,66154,22,21.6%,46451,60m,24.88%,car,own,0
1082,584,27016,39,32.8%,13687,36m,13.48%,debt_consolidation,own,1
1083,755,99563,8,17.6%,5801,36m,17.7%,medical,mortgage,0
1084,630,68688,31,37.9%,43048,60m,14.62%,debt_consolidation,rent,1
1085,713,109678,14,23.7%,42144,36m,19.41%,car,rent,1
1086,599,132056,36,25.9%,30942,36m,23.77%,credit_card,rent,1
1087,653,74238,12,6.1%,12148,36m,11.19%,debt_consolidation,rent,1
1088,681,78608,4,11.0%,48828,36m,21.38%,small_business,mortgage,1
1089,551,109081,10,27.2%,19283,60m,18.1%,debt_consolidation,rent,1
1090,683,136572,9,19.7%,21861,36m,10.6%,debt_consolidation,rent,1
1091,603,51897,12,22.8%,36512,36m,20.95%,wedding,mortgage,1
1092,655,70961,14,7.2%,24480,36m,13.54%,car,mortgage,1
1093,553,88703,6,34.2%,20637,36m,7.41%,wedding,rent,1
1094,603,64757,39,32.5%,46621,60m,24.87%,medical,own,1
1095,770,46917,27,11.5%,49431,36m,13.51%,wedding,rent,0
1096,740,42736,31,27.2%,36401,36m,15.83%,medical,rent,0
1097,695,47990,34,33.6%,25385,36m,21.16%,car,mortgage,1
1098,767,82551,14,27.4%,27437,36m,24.22%,wedding,own,0
1099,593,78161,35,15.9%,10149,60m,22.46%,debt_consolidation,mortgage,1
1100,711,99623,20,28.0%,16671,36m,15.5%,debt_consolidation,mortgage,1
